user_name,prev_time,curr_time,transition,next_state,mainstream_risk_ratio,wemedia_risk_ratio,n_mainstream_targets_observed,n_wemedia_targets_observed,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
陕西汉书下酒,2023-01-25 09:42:00,2023-01-25 12:31:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-25 12:31:00,2023-01-25 19:53:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-25 19:53:00,2023-01-26 08:00:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-26 08:00:00,2023-01-26 08:44:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-26 08:44:00,2023-01-26 10:35:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-26 10:35:00,2023-01-26 19:28:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-26 19:28:00,2023-01-27 07:33:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-27 07:33:00,2023-01-28 07:59:00,M->M,M,0.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-28 07:59:00,2023-01-28 10:11:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-28 10:11:00,2023-01-28 18:34:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-28 18:34:00,2023-01-29 14:14:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-29 14:14:00,2023-01-30 09:31:00,M->M,M,0.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-30 09:31:00,2023-01-30 16:10:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-30 16:10:00,2023-02-02 09:32:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-02-02 09:32:00,2023-02-03 11:00:00,M->M,M,1.0,1.0,1,1,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-02-03 11:00:00,2023-02-03 14:34:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-02-03 14:34:00,2023-02-03 20:02:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-02-03 20:02:00,2023-02-04 20:37:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-02-04 20:37:00,2023-02-05 17:08:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-02-05 17:08:00,2023-02-05 20:48:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
